"event_name","category","date","location","link","subpage_title","subpage_status","event_description","subpage_venue","street_address","postal_code","city","event_duration_type","image_url","image_file","lat","lon"
"Five Percussionists. Five Artists. One Singer.","Music","Jun 15","Galleri Duerr","https://www.visitstockholm.com/events/five-percussionists-five-artists-one-singer/next/","Five Percussionists. Five Artists. One Singer.",200,"We warmly invite you to the last concert of the season at Galleri Duerr on Monday, June 15 at 7 pm. Free admission. Five percussionists and one singer, all from The Royal Opera, present an immersive performance in dialogue with the exhibition ""Errare humanum est. Painting at the Time of Artificial Intelligence"". An evening where voice, rhythm, and sound meet contemporary art in a shared space of listening, seeing, and reflection. RSVP: Deborah +46 70 307 34 32. Drop-ins welcome.","Galleri Duerr","Hudiksvallsgatan 6","11330","Stockholm","Single-day event","https://www.visitstockholm.com/media/images/five-percussionists-five-artists-.2e16d0ba.fill-1200x628.jpg","event_images/event_5.jpg","59.3458920","18.0379168"
"Antiques and vintage market at Karlaplan","Fairs","Jun 27 - Nov 14","Karlaplan, runt fontänen","https://www.visitstockholm.com/events/antiques-and-vintage-market-at-karlaplan/next/","Antiques and vintage market at Karlaplan",200,"Great market for both antiques bargaining and second hand jeans! This flea market is extremely popular on TikTok :)  New vendors every Saturday (about 100 every day) so great potential for finding real treasures. You'll find the market in the park around the fountain of Karlaplan. Stroll through the market, have a fika and enjoy a day in the park.","Karlaplan, runt fontänen","Karlaplan","11431","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/antiques-and-vintage-market-at-ka.2e16d0ba.fill-1200x628.jpg","event_images/event_2.jpg","59.3397516","18.0922947"
"Outdoor Sessions Sthlm","Sports & Wellbeing","Jun 15 - Jul 23","Marievikpontonen","https://www.visitstockholm.com/events/outdoor-sessions-sthlm-2/next/","Outdoor Sessions Sthlm",200,"Outdoor Sessions is a creative platform in Stockholm gathering dancers, artists and creatives every summer, sun–thu, by the water. We offer open dance sessions, international workshops, live music, yoga, battles, open stage, flea market and DJ sessions – welcoming anyone aged 18–35.","Marievikpontonen","Liljeholmshamnen 4X","11761","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/outdoor-sessions-sthlm-1.2e16d0ba.fill-1200x628.jpg","event_images/event_20.jpg","59.3134428","18.0301019"
"Taking Root – on Soil Relations and Human Endeavors","Exhibitions","Jun 15 - Jun 18","Färgfabriken","https://www.visitstockholm.com/events/taking-root-on-soil-relations-and-human-endeavors/next/","Taking Root – on Soil Relations and Human Endeavors",200,"The exhibition brings together artists who address both the physical and metaphorical act of putting down roots—how to connect to a place, from migrants’ attempts to find a new home to ecological perspectives on how seeds travel, on soil, and on the conditions necessary for taking root.","Färgfabriken","Lövholmsbrinken 1","117 65","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/taking-root-on-soil-relations-and.2e16d0ba.fill-1200x628.jpg","event_images/event_8.jpg","59.3153445","18.0192345"
"Lola Akinmade Åkerström BookClub Full-day Tour","Guided tours","Jun 15 - Oct 24","Mötesplats Mariatorget","https://www.visitstockholm.com/events/lola-akinmade-akerstrom-bookclub-full-day-tour/next/","Lola Akinmade Åkerström BookClub Full-day Tour",200,"Explore Stockholm with the Lola Akinmade Åkerström BookClub Tour. This guided walk highlights Afro-Swedish history, literary sites featured in Lola’s books, and cozy fika stops. Join engaging discussions with fellow readers and support the Afro-Swedish community.","Mötesplats Mariatorget","Mariatorget 10","118 48","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/lola-akinmade-akerstrom-bookclub-.2e16d0ba.fill-1200x628.jpg","event_images/event_14.jpg","59.3176077","18.0620574"
"Amanda Shires","Music","Jun 15","Södra Teatern","https://www.visitstockholm.com/events/amanda-shires/next/","Amanda Shires",200,"Grammy-winning singer-songwriter and multi-instrumentalist Amanda Shires is one of modern Americana’s most distinctive voices. On 15 June she brings her songs to Södra Teatern in Stockholm. With West Texas roots, violin-led arrangements and razor-sharp storytelling, her music moves between Americana, country and folk. Expect an intimate night of presence, emotion and lyrics that linger.","Södra Teatern","Mosebacke Torg 1","116 46","Stockholm","Single-day event","https://www.visitstockholm.com/media/images/amanda-shires.2e16d0ba.fill-1200x628.jpg","event_images/event_9.jpg","59.3182475","18.0743734"
"Play Beyond Play","Exhibitions","Jun 15 - Dec 31","The National Museum of Science and Technology","https://www.visitstockholm.com/events/play-beyond-play/next/","Play Beyond Play",200,"The National Museum of Science and Technology has created an experience where you can not only try your favorite games and explore the game history, but also step into, and let yourself be immersed by, games. The Play Beyond Play exhibition occupies over 1,000 square meters of gaming fun! Join in on a journey through game history!","The National Museum of Science and Technology","Museivägen 7","115 27","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/play-beyond-play.2e16d0ba.fill-1200x628.jpg","event_images/event_17.jpg","59.3325056","18.1189933"
"The Viking World – the world’s largest Viking exhibition","Exhibitions","Jun 15 - Jan 1","Swedish History Museum","https://www.visitstockholm.com/events/the-viking-world-the-worlds-largest-viking-exhibit/next/","The Viking World – the world’s largest Viking exhibition",200,"The myth of the violent, plundering Vikings (with horned helmets) has been circulating for a long time. But what do we really know about life in Nordic countries one thousand years ago?","Swedish History Museum","Narvavägen 13",NA,"Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/the-viking-world-the-worlds-large.ecb8a21c.fill-1200x628.jpg","event_images/event_3.jpg","59.3327820","18.0932058"
"A Swedish Midsummer Night’s Dream","Stage & Film","Jun 15 - Jun 16","Konträr","https://www.visitstockholm.com/events/a-swedish-midsummer-nights-dream-2/next/","A Swedish Midsummer Night’s Dream",200,"Last year’s hit is back! A Swedish Midsummer Night’s Dream returns to Konträr. A bold and unpredictable reckoning with the most Swedish of holidays, on the brightest night of the summer. Herring, schnapps, and “Små grodorna.” Sex, vomit, and Swedish falukorv. It’s funny, absurd, and deeply relatable. But even on the brightest of nights, the darkest darkness lurks. Language: English","Konträr","Östgötagatan 33","116 25","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/a-swedish-midsummer-nights-dream_OcSR0eI.2e16d0ba.fill-1200x628.jpg","event_images/event_12.jpg","59.3149214","18.0764440"
"In Bloom - Art & Botany","Exhibitions","Jun 15 - Sep 13","Prins Eugens Waldemarsudde","https://www.visitstockholm.com/events/the-blooming-of-art-botany/next/","In Bloom - Art & Botany",200,"With spring as companion, Waldemarsudde open the doors to an exhibition where the flower’s significance in art, design, and cultural history is in full bloom. Here, painting, sculpture, textile art, photography, installations, and botanical illustrations from the 16th century to today meet — side by side with floral arrangements, both indoors and in the park. Welcome to experience Waldemarsudde in its most flourishing form.","Prins Eugens Waldemarsudde","Prins Eugens väg 6","115 21","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/the-blooming-of-art-botany.2e16d0ba.fill-1200x628.jpg","event_images/event_18.jpg","59.3230293","18.1172799"
"System Of A Down+Queens of the Stone Age","Music","Jun 29","Strawberry Arena","https://www.visitstockholm.com/events/system-of-a-down-concert/next/","System Of A Down+Queens of the Stone Age",200,"System Of A Down returns to Europe in the summer of 2026, kicking off their tour at Strawberry Arena in Stockholm – their only concert in the Nordics. Joining them are Queens of the Stone Age as special guests and the reunited Acid Bath as the opening act. The audience can expect an intense and powerful show packed with the band’s biggest hits and unforgettable energy. This is a unique opportunity to experience one of the most influential rock bands of the 21st century live on Swedish soil.","Strawberry Arena","Råsta Strandväg 1","169 79","Solna","Single-day event","https://www.visitstockholm.com/media/images/system-of-a-down-concert.2e16d0ba.fill-1200x628.jpg","event_images/event_24.jpg","59.3720884","18.0029847"
"BAD BUNNY","Music","Jul 10 - Jul 11","Strawberry Arena","https://www.visitstockholm.com/events/bad-bunny/next/","BAD BUNNY",200,"Bad Bunny is heading out on his highly anticipated “Debí tirar más fotos world tour” – coming to Strawberry Arena on July 10 and 11, 2026! Bad Bunny is embarking on his global “Debí tirar más fotos world tour” and will be performing at Strawberry Arena in Stockholm on July 10 and 11, 2026. With this tour, Bad Bunny is making history as the first Latin American artist ever to headline the biggest stages across Latin America, Europe, and Australia.","Strawberry Arena","Råsta Strandväg 1","169 79","Solna","Multi-day event","https://www.visitstockholm.com/media/images/bad-bunny.2e16d0ba.fill-1200x628.jpg","event_images/event_25.jpg","59.3720884","18.0029847"
"Äventyrs – The adventure museum (pop-up)","Exhibitions","Jun 16 - Sep 30","Äventyrs","https://www.visitstockholm.com/events/aventyrs-the-adventure-museum/next/","Äventyrs – The adventure museum (pop-up)",200,"Äventyrs is the world's first museum that depicts adventures from all over the world - created to inspire our visitors, awaken dreams and ignite the spark for adventure. In addition to several inspiring exhibitions, there is a large adventure shop and a cafe. Äventyrs also offer an adventure community, education and lectures. The museum is temporary (""pop-up"") until midsummer, but hopefully it can remain for longer!","Äventyrs","Sergelgatan 8","11157","Stockholm","Multi-day event","https://www.visitstockholm.com/media/images/aventyrs-the-adventure-museum.2e16d0ba.fill-1200x628.jpg","event_images/event_11.jpg","59.3336156","18.0637500"
"Cullberg: Guerrilla Fragments","Stage & Film","Jun 25","På Sergels torg","https://www.visitstockholm.com/events/cullberg-guerrilla-fragments/next/","Cullberg: Guerrilla Fragments",200,"Come to a red-hot party filled with pulse, rhythm, and movement in a flow where the audience is drawn in, boundaries dissolve, and the stage becomes a collective! An immersive dance performance where choreographer Renan Martins collaborates with Olof Dreijer from The Knife.","På Sergels torg","Sergels torg","11157","Stockholm","Single-day event","https://www.visitstockholm.com/media/images/cullberg-guerrilla-fragments.2e16d0ba.fill-1200x628.jpg","event_images/event_13.jpg","59.3322005","18.0640284"
